"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: listSize","Param: listType","Param: maxItems"
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.094560,0.150529,"us/op",100,ArrayShuffled,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.456315,0.312650,"us/op",100,ArrayShuffled,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.517888,0.137275,"us/op",100,ArrayShuffled,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.594642,0.103265,"us/op",100,ArrayShuffled,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.533745,0.330095,"us/op",100,ArrayShuffled,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.618431,0.097006,"us/op",100,LinkedListShuffled,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.473020,0.139232,"us/op",100,LinkedListShuffled,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.509445,0.293512,"us/op",100,LinkedListShuffled,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.359893,0.090110,"us/op",100,LinkedListShuffled,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,9.468606,0.148781,"us/op",100,LinkedListShuffled,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,1.715268,0.282967,"us/op",100,LinkedListSorted,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,1.756133,0.130326,"us/op",100,LinkedListSorted,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2.008344,0.394609,"us/op",100,LinkedListSorted,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,1.840564,0.294224,"us/op",100,LinkedListSorted,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,1.956100,0.267723,"us/op",100,LinkedListSorted,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,153.125984,2.372423,"us/op",1000,ArrayShuffled,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,153.292380,2.178504,"us/op",1000,ArrayShuffled,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,153.217438,2.694252,"us/op",1000,ArrayShuffled,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,153.049236,3.707623,"us/op",1000,ArrayShuffled,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,153.128140,3.500704,"us/op",1000,ArrayShuffled,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,158.395034,2.617575,"us/op",1000,LinkedListShuffled,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,159.004924,1.824904,"us/op",1000,LinkedListShuffled,5
