Source type,Top Items,Source size,Collections,MagicSort,%,JDK Stream,MagicSort Stream,%,Parallel Stream,MS Parallel Stream,%
ArrayShuffled,1,100,9.09,1.41,644%,11.60,1.32,881%,67.00,32.70,205%
ArrayShuffled,1,"1,000",153.13,12.29,"1,246%",161.99,12.22,"1,326%",264.60,63.76,415%
ArrayShuffled,1,"10,000","2,126.97",154.78,"1,374%","2,304.21",167.92,"1,372%","1,728.80",154.86,"1,116%"
ArrayShuffled,1,"100,000","50,008.36","7,439.67",672%,"64,902.69","5,290.49","1,227%","9,044.50","1,189.25",761%
ArrayShuffled,1,"1,000,000","601,439.80","54,165.26","1,110%","662,720.96","61,563.72","1,076%","101,815.45","11,041.97",922%
ArrayShuffled,5,100,9.46,2.11,448%,10.92,2.27,480%,86.04,33.78,255%
ArrayShuffled,5,"1,000",153.29,15.70,976%,166.20,14.06,"1,182%",300.95,82.10,367%
ArrayShuffled,5,"10,000","2,197.35",140.71,"1,562%","2,329.97",166.30,"1,401%","1,677.19",171.39,979%
ArrayShuffled,5,"100,000","55,481.68","8,198.86",677%,"62,759.49","5,318.66","1,180%","9,567.26","1,198.49",798%
ArrayShuffled,5,"1,000,000","603,848.63","69,524.13",869%,"649,650.45","60,506.70","1,074%","104,204.87","10,656.94",978%
ArrayShuffled,10,100,9.52,3.09,308%,11.00,3.48,316%,100.15,36.68,273%
ArrayShuffled,10,"1,000",153.22,17.95,854%,168.66,16.17,"1,043%",307.23,91.67,335%
ArrayShuffled,10,"10,000","2,131.10",175.24,"1,216%","2,320.38",174.74,"1,328%","1,770.28",182.71,969%
ArrayShuffled,10,"100,000","60,759.64","9,038.99",672%,"66,869.30","5,289.74","1,264%","10,144.99","1,196.90",848%
ArrayShuffled,10,"1,000,000","606,692.03","72,334.81",839%,"677,449.74","63,623.17","1,065%","111,612.11","10,430.04","1,070%"
ArrayShuffled,100,100,9.59,10.59,91%,12.15,10.66,114%,98.97,51.13,194%
ArrayShuffled,100,"1,000",153.05,50.84,301%,167.65,59.76,281%,319.79,148.91,215%
ArrayShuffled,100,"10,000","2,115.95",231.16,915%,"2,319.62",226.11,"1,026%","1,800.96",581.61,310%
ArrayShuffled,100,"100,000","59,762.88","5,373.55","1,112%","60,478.39","5,251.41","1,152%","9,060.16","1,822.59",497%
ArrayShuffled,100,"1,000,000","605,069.11","69,324.69",873%,"666,658.61","61,284.76","1,088%","106,564.91","12,373.30",861%
